confidence_threshold,iou_threshold,min_consecutive,num_sequences,num_positive_gt,num_negative_gt,tp,fp,fn,tn,precision,recall,f1,fpr,mean_ttd_seconds,median_ttd_seconds
0.2,0.4,4,2865,1433,1432,1202,214,231,1218,0.8489,0.8388,0.8438,0.1494,177.2,68.0
0.2,0.5,3,2865,1433,1432,1239,267,194,1165,0.8227,0.8646,0.8431,0.1865,150.3,50.0
0.1,0.4,2,2865,1433,1432,1376,456,57,976,0.7511,0.9602,0.8429,0.3184,71.2,20.0
0.3,0.5,3,2865,1433,1432,1215,235,218,1197,0.8379,0.8479,0.8429,0.1641,157.9,50.0
0.4,0.2,4,2865,1433,1432,1162,162,271,1270,0.8776,0.8109,0.8429,0.1131,180.7,58.0
0.3,0.4,4,2865,1433,1432,1173,182,260,1250,0.8657,0.8186,0.8415,0.1271,184.1,68.0
0.5,0.5,2,2865,1433,1432,1212,238,221,1194,0.8359,0.8458,0.8408,0.1662,127.4,27.0
0.1,0.2,5,2865,1433,1432,1206,233,227,1199,0.8381,0.8416,0.8398,0.1627,200.6,89.0
0.5,0.1,3,2865,1433,1432,1164,177,269,1255,0.868,0.8123,0.8392,0.1236,161.1,36.0
0.25,0.1,1,2865,1433,1432,1413,523,20,909,0.7299,0.986,0.8388,0.3652,17.4,0.0
0.25,0.2,1,2865,1433,1432,1413,523,20,909,0.7299,0.986,0.8388,0.3652,17.4,0.0
0.25,0.3,1,2865,1433,1432,1413,523,20,909,0.7299,0.986,0.8388,0.3652,17.4,0.0
0.25,0.4,1,2865,1433,1432,1413,523,20,909,0.7299,0.986,0.8388,0.3652,17.4,0.0
0.25,0.5,1,2865,1433,1432,1413,523,20,909,0.7299,0.986,0.8388,0.3652,17.4,0.0
0.2,0.3,5,2865,1433,1432,1161,175,272,1257,0.869,0.8102,0.8386,0.1222,213.0,96.0
0.25,0.3,5,2865,1433,1432,1150,161,283,1271,0.8772,0.8025,0.8382,0.1124,218.0,96.0
0.5,0.2,3,2865,1433,1432,1157,175,276,1257,0.8686,0.8074,0.8369,0.1222,157.9,36.0
0.4,0.3,4,2865,1433,1432,1145,159,288,1273,0.8781,0.799,0.8367,0.111,190.4,59.0
0.1,0.5,2,2865,1433,1432,1348,443,85,989,0.7527,0.9407,0.8362,0.3094,75.5,21.0
0.3,0.3,5,2865,1433,1432,1132,145,301,1287,0.8865,0.79,0.8354,0.1013,226.3,96.0
0.1,0.4,4,2865,1433,1432,1217,269,216,1163,0.819,0.8493,0.8338,0.1878,168.4,64.0
0.4,0.5,3,2865,1433,1432,1168,202,265,1230,0.8526,0.8151,0.8334,0.1411,174.2,50.0
0.1,0.3,5,2865,1433,1432,1180,226,253,1206,0.8393,0.8234,0.8313,0.1578,209.9,94.0
0.5,0.3,3,2865,1433,1432,1143,174,290,1258,0.8679,0.7976,0.8313,0.1215,162.1,37.0
0.1,0.5,3,2865,1433,1432,1257,337,176,1095,0.7886,0.8772,0.8305,0.2353,139.4,45.0
0.2,0.1,1,2865,1433,1432,1414,562,19,870,0.7156,0.9867,0.8296,0.3925,14.3,0.0
0.2,0.2,1,2865,1433,1432,1414,562,19,870,0.7156,0.9867,0.8296,0.3925,14.3,0.0
