pixel_threshold,min_change_ratio,confidence_threshold,iou_threshold,min_consecutive,max_detection_area,max_misses,num_sequences,num_positive_gt,num_negative_gt,tp,fp,fn,tn,tp_pct,fp_pct,fn_pct,tn_pct,precision,recall,f1,fpr,mean_ttd_seconds,median_ttd_seconds
10,0.001,0.01,0.1,1,,0,2933,1467,1466,1438,961,29,505,98.02,65.55,1.98,34.45,0.5994,0.9802,0.7439,0.6555,52.5,19.0
5,0.1,0.01,0.1,1,,0,2933,1467,1466,1428,947,39,519,97.34,64.6,2.66,35.4,0.6013,0.9734,0.7434,0.646,61.2,20.0
7,0.05,0.01,0.1,1,,0,2933,1467,1466,1421,937,46,529,96.86,63.92,3.14,36.08,0.6026,0.9686,0.743,0.6392,60.2,20.0
5,0.05,0.01,0.1,1,,0,2933,1467,1466,1439,968,28,498,98.09,66.03,1.91,33.97,0.5978,0.9809,0.7429,0.6603,53.4,19.0
10,0.01,0.01,0.1,1,,0,2933,1467,1466,1422,939,45,527,96.93,64.05,3.07,35.95,0.6023,0.9693,0.7429,0.6405,60.9,20.0
15,0.001,0.01,0.1,1,,0,2933,1467,1466,1408,919,59,547,95.98,62.69,4.02,37.31,0.6051,0.9598,0.7422,0.6269,62.8,20.0
7,0.01,0.01,0.1,1,,0,2933,1467,1466,1439,972,28,494,98.09,66.3,1.91,33.7,0.5968,0.9809,0.7421,0.663,51.2,19.0
7,0.005,0.01,0.1,1,,0,2933,1467,1466,1443,981,24,485,98.36,66.92,1.64,33.08,0.5953,0.9836,0.7417,0.6692,50.7,19.0
5,0.02,0.01,0.1,1,,0,2933,1467,1466,1445,988,22,478,98.5,67.39,1.5,32.61,0.5939,0.985,0.741,0.6739,49.0,19.0
10,0.05,0.01,0.1,3,,0,2933,1467,1466,1118,435,349,1031,76.21,29.67,23.79,70.33,0.7199,0.7621,0.7404,0.2967,221.1,87.0
19,0.001,0.01,0.1,1,,0,2933,1467,1466,1375,873,92,593,93.73,59.55,6.27,40.45,0.6117,0.9373,0.7402,0.5955,76.1,22.0
15,0.005,0.01,0.1,1,,0,2933,1467,1466,1386,895,81,571,94.48,61.05,5.52,38.95,0.6076,0.9448,0.7396,0.6105,73.4,21.0
10,0.02,0.01,0.1,1,,0,2933,1467,1466,1402,923,65,543,95.57,62.96,4.43,37.04,0.603,0.9557,0.7395,0.6296,64.3,20.0
7,0.001,0.01,0.1,1,,0,2933,1467,1466,1447,1001,20,465,98.64,68.28,1.36,31.72,0.5911,0.9864,0.7392,0.6828,49.1,17.0
5,0.01,0.01,0.1,1,,0,2933,1467,1466,1448,1005,19,461,98.7,68.55,1.3,31.45,0.5903,0.987,0.7388,0.6855,48.8,17.0
3,0.1,0.01,0.1,1,,0,2933,1467,1466,1444,1002,23,464,98.43,68.35,1.57,31.65,0.5904,0.9843,0.7381,0.6835,51.4,19.0
15,0.01,0.01,0.1,1,,0,2933,1467,1466,1370,880,97,586,93.39,60.03,6.61,39.97,0.6089,0.9339,0.7372,0.6003,81.6,23.0
19,0.005,0.01,0.1,1,,0,2933,1467,1466,1349,845,118,621,91.96,57.64,8.04,42.36,0.6149,0.9196,0.737,0.5764,95.8,23.0
3,0.05,0.01,0.1,1,,0,2933,1467,1466,1448,1015,19,451,98.7,69.24,1.3,30.76,0.5879,0.987,0.7369,0.6924,48.6,17.0
5,0.005,0.01,0.1,1,,0,2933,1467,1466,1448,1015,19,451,98.7,69.24,1.3,30.76,0.5879,0.987,0.7369,0.6924,48.5,17.0
19,0.01,0.01,0.1,2,,0,2933,1467,1466,1160,523,307,943,79.07,35.68,20.93,64.32,0.6892,0.7907,0.7365,0.3568,184.3,58.0
25,0.001,0.01,0.1,1,,0,2933,1467,1466,1327,812,140,654,90.46,55.39,9.54,44.61,0.6204,0.9046,0.736,0.5539,103.0,25.0
5,0.001,0.01,0.1,1,,0,2933,1467,1466,1448,1031,19,435,98.7,70.33,1.3,29.67,0.5841,0.987,0.7339,0.7033,48.5,17.0
7,0.1,0.01,0.1,1,,0,2933,1467,1466,1382,919,85,547,94.21,62.69,5.79,37.31,0.6006,0.9421,0.7335,0.6269,78.3,23.0
3,0.02,0.01,0.1,1,,0,2933,1467,1466,1448,1035,19,431,98.7,70.6,1.3,29.4,0.5832,0.987,0.7332,0.706,48.4,17.0
7,0.1,0.01,0.1,4,,0,2933,1467,1466,1045,339,422,1127,71.23,23.12,28.77,76.88,0.7551,0.7123,0.7331,0.2312,281.1,120.0
3,0.005,0.01,0.1,1,,0,2933,1467,1466,1448,1037,19,429,98.7,70.74,1.3,29.26,0.5827,0.987,0.7328,0.7074,48.4,17.0
3,0.001,0.01,0.1,1,,0,2933,1467,1466,1448,1037,19,429,98.7,70.74,1.3,29.26,0.5827,0.987,0.7328,0.7074,48.4,17.0
3,0.01,0.01,0.1,1,,0,2933,1467,1466,1448,1037,19,429,98.7,70.74,1.3,29.26,0.5827,0.987,0.7328,0.7074,48.4,17.0
10,0.05,0.01,0.1,1,,0,2933,1467,1466,1367,898,100,568,93.18,61.26,6.82,38.74,0.6035,0.9318,0.7326,0.6126,84.9,23.0
15,0.01,0.01,0.1,4,,0,2933,1467,1466,1029,322,438,1144,70.14,21.96,29.86,78.04,0.7617,0.7014,0.7303,0.2196,283.4,120.0
15,0.02,0.01,0.1,1,,0,2933,1467,1466,1331,847,136,619,90.73,57.78,9.27,42.22,0.6111,0.9073,0.7303,0.5778,100.1,26.0
19,0.005,0.01,0.1,3,,0,2933,1467,1466,1079,409,388,1057,73.55,27.9,26.45,72.1,0.7251,0.7355,0.7303,0.279,235.2,87.0
30,0.001,0.01,0.1,1,,0,2933,1467,1466,1270,745,197,721,86.57,50.82,13.43,49.18,0.6303,0.8657,0.7295,0.5082,128.8,29.0
19,0.01,0.01,0.1,1,,0,2933,1467,1466,1313,824,154,642,89.5,56.21,10.5,43.79,0.6144,0.895,0.7286,0.5621,109.3,27.0
15,0.005,0.01,0.1,5,,0,2933,1467,1466,980,256,487,1210,66.8,17.46,33.2,82.54,0.7929,0.668,0.7251,0.1746,332.0,151.0
30,0.001,0.01,0.1,2,,0,2933,1467,1466,1090,461,377,1005,74.3,31.45,25.7,68.55,0.7028,0.743,0.7223,0.3145,197.5,59.0
25,0.005,0.01,0.1,1,,0,2933,1467,1466,1263,769,204,697,86.09,52.46,13.91,47.54,0.6216,0.8609,0.7219,0.5246,132.7,29.0
15,0.02,0.01,0.1,3,,0,2933,1467,1466,1058,407,409,1059,72.12,27.76,27.88,72.24,0.7222,0.7212,0.7217,0.2776,240.0,89.0
25,0.001,0.01,0.1,3,,0,2933,1467,1466,1038,374,429,1092,70.76,25.51,29.24,74.49,0.7351,0.7076,0.7211,0.2551,251.8,87.0
10,0.05,0.01,0.1,4,,0,2933,1467,1466,1007,328,460,1138,68.64,22.37,31.36,77.63,0.7543,0.6864,0.7188,0.2237,287.0,120.0
25,0.005,0.01,0.1,2,,0,2933,1467,1466,1091,479,376,987,74.37,32.67,25.63,67.33,0.6949,0.7437,0.7185,0.3267,196.8,59.0
10,0.1,0.01,0.1,1,,0,2933,1467,1466,1288,846,179,620,87.8,57.71,12.2,42.29,0.6036,0.878,0.7154,0.5771,116.5,29.0
19,0.02,0.01,0.1,1,,0,2933,1467,1466,1254,792,213,674,85.48,54.02,14.52,45.98,0.6129,0.8548,0.7139,0.5402,133.8,29.0
19,0.001,0.01,0.1,5,,0,2933,1467,1466,948,244,519,1222,64.62,16.64,35.38,83.36,0.7953,0.6462,0.7131,0.1664,327.5,150.0
10,0.1,0.01,0.1,2,,0,2933,1467,1466,1098,517,369,949,74.85,35.27,25.15,64.73,0.6799,0.7485,0.7125,0.3527,188.6,60.0
19,0.02,0.01,0.1,2,,0,2933,1467,1466,1075,486,392,980,73.28,33.15,26.72,66.85,0.6887,0.7328,0.71,0.3315,199.9,60.0
19,0.01,0.01,0.1,3,,0,2933,1467,1466,1020,387,447,1079,69.53,26.4,30.47,73.6,0.7249,0.6953,0.7098,0.264,252.7,89.5
19,0.005,0.01,0.1,4,,0,2933,1467,1466,966,294,501,1172,65.85,20.05,34.15,79.95,0.7667,0.6585,0.7085,0.2005,302.8,120.0
15,0.05,0.01,0.1,1,,0,2933,1467,1466,1242,802,225,664,84.66,54.71,15.34,45.29,0.6076,0.8466,0.7075,0.5471,136.3,30.0
25,0.01,0.01,0.1,1,,0,2933,1467,1466,1203,743,264,723,82.0,50.68,18.0,49.32,0.6182,0.82,0.705,0.5068,142.6,30.0
